MOP,language,text,length,rating_list,mean_rating,text_clean,mean_check,unigram_logprob,bigram_logprob,trigram_logprob
MOP2,en,"There are 5,733 empty council houses , almost 2,000 of which have been empty for more than a year .",18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"there are 5,733 empty council houses , almost 2,000 of which have been empty for more than a year .",4.0,-54.4133,-48.4225,-48.0865
MOP2,en,Heath ( 3.3 ) sums up one influential and long-established tradition in the study of class differences in education .,17,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,heath ( 3.3 ) sums up one influential and long-established tradition in the study of class differences in education .,4.0,-62.2989,-56.5109,-55.5263
MOP2,en,And his price — his price can be of enormous use .,10,"[1, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 4]",3.2,and his price — his price can be of enormous use .,3.2,-31.4734,-30.7158,-31.3069
MOP2,en,"There was a significant improvement in the attendance of miners at the Mansfield clinic , however , since this was much closer to their homes .",23,"[4, 4, 4, 4, 4, 1, 4, 1, 4, 4, 1, 4, 1, 4, 4]",3.2,"there was a significant improvement in the attendance of miners at the mansfield clinic , however , since this was much closer to their homes .",3.2,-69.3573,-57.3017,-58.5803
MOP2,en,‘ Then maybe most of the faults were on my side .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,‘ then maybe most of the faults were on my side .,4.0,-32.5335,-28.492,-28.2467
MOP2,en,Gere and Basinger star in the erotic thriller Final Analysis which Warner Home Video will released into video libraries by October 18 .,22,"[1, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4]",3.0,gere and basinger star in the erotic thriller final analysis which warner home video will released into video libraries by october 18 .,3.0,-54.0999,-49.0383,-50.1439
MOP2,en,"Recently , concern has grown that Michelangelo's ceiling of the Sistine chapel in Rome has been irreparably altered by the Vatican conservation team .",22,"[4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.76923076923,"recently , concern has grown that michelangelo's ceiling of the sistine chapel in rome has been irreparably altered by the vatican conservation team .",3.769230769230769,-60.7045,-56.637,-56.7521
MOP2,en,Disillusion me and get my sympathy at the same time .,10,"[1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1]",3.4,disillusion me and get my sympathy at the same time .,3.4,-27.6549,-20.7549,-20.7456
MOP2,en,The horse shot out like an arrow from a bow . ’,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,the horse shot out like an arrow from a bow . ’,4.0,-34.1866,-32.0204,-32.1372
MOP2,en,The British Horse Society is anxious to find out why a third of them should have happened in this year alone .,21,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",3.76923076923,the british horse society is anxious to find out why a third of them should have happened in this year alone .,3.769230769230769,-60.9487,-50.3931,-49.6422
MOP2,en,"Made with Pertex fabrics and Quallofil 7 filling , the Kompakt Lite weights only 1.2kg and , in its stuff sack , reduces to 7l .",22,"[1, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 1, 1]",2.94117647059,"made with pertex fabrics and quallofil 7 filling , the kompakt lite weights only 1.2kg and , in its stuff sack , reduces to 7l .",2.9411764705882355,-54.79,-55.9567,-55.2197
MOP2,en,"In exceptional circumstances , your Head of Department will not apply the withdrawal clause if there is a reasonable explanation for failure to notify .",23,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.8125,"in exceptional circumstances , your head of department will not apply the withdrawal clause if there is a reasonable explanation for failure to notify .",3.8125,-76.8189,-64.6838,-65.0925
MOP2,en,"‘ Goodness me , who on earth can that be ? ’",8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"‘ goodness me , who on earth can that be ? ’",4.0,-29.0363,-32.0837,-31.8859
MOP2,en,Small specimens are sometimes confused with Synodontis petricolor .,8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",3.8,small specimens are sometimes confused with synodontis petricolor .,3.8,-24.0441,-21.3225,-22.156
MOP2,en,"They called us out into the stadium too early and it was hot , very hot .",15,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"they called us out into the stadium too early and it was hot , very hot .",4.0,-40.2609,-36.2349,-36.118
MOP2,en,"The review copy is a solid black , but the basic model comes oil-finished .",13,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"the review copy is a solid black , but the basic model comes oil-finished .",4.0,-39.6809,-37.98,-38.1861
MOP2,en,"In their bedroom something crashed to the floor , which immediately woke one of the twins who began to howl .",19,"[1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3.6,"in their bedroom something crashed to the floor , which immediately woke one of the twins who began to howl .",3.6,-60.5459,-56.2341,-56.3472
MOP2,en,Wanting a man who was such a louse .,8,"[4, 1, 1, 4, 4, 4, 1, 1, 4, 4, 1, 4, 1]",2.61538461538,wanting a man who was such a louse .,2.6153846153846154,-27.4244,-22.7069,-22.7583
MOP2,en,This essential motion can not take place except in a liquid medium .,12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.8,this essential motion can not take place except in a liquid medium .,3.8,-41.9362,-39.6177,-39.111
MOP2,en,Upper Stowe was once called Butter Stowe because the London carrier collected butter here .,14,"[4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4]",3.4,upper stowe was once called butter stowe because the london carrier collected butter here .,3.4,-43.4898,-41.6929,-41.5518
MOP2,en,The induction of adhesion of particular T-cell subsets by specific cytokines would make the process of lymphocyte recruitment more flexible and selective .,22,"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",3.72727272727,the induction of adhesion of particular t-cell subsets by specific cytokines would make the process of lymphocyte recruitment more flexible and selective .,3.727272727272727,-60.3196,-56.6913,-56.5905
MOP2,en,‘ If I'd been in your shoes I'd have walked right out on him . ’,13,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,‘ if i'd been in your shoes i'd have walked right out on him . ’,4.0,-34.8513,-31.9408,-31.8785
MOP2,en,"‘ But it was lost — walls were built over it , the paper had disintegrated . ’",13,"[4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3.75,"‘ but it was lost — walls were built over it , the paper had disintegrated . ’",3.75,-38.2392,-35.1603,-35.3947
MOP2,en,"You can visit the village — it has a pub , beach and a shop — then retrace your steps through the woods to reach the Saints' Way .",25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"you can visit the village — it has a pub , beach and a shop — then retrace your steps through the woods to reach the saints' way .",4.0,-64.0536,-61.4651,-61.1861
MOP2,en,He's amongst the qualifiers for the Lancome trophy at Paris .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,he's amongst the qualifiers for the lancome trophy at paris .,4.0,-19.8396,-17.6148,-17.7525
MOP2,en,"‘ Steal for you ? ’ he answered Laura's astonished protest , ‘ I'd do time .",11,"[4, 1, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1]",3.0625,"‘ steal for you ? ’ he answered laura's astonished protest , ‘ i'd do time .",3.0625,-37.2859,-38.1964,-38.4618
MOP2,en,The previous maximum flue length for the 10.5kW and 18kW output boilers was three metres .,15,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.8,the previous maximum flue length for the 10.5kw and 18kw output boilers was three metres .,3.8,-31.2906,-30.2512,-30.3296
MOP2,en,"Rising slowly like an automaton , she made her way over to the counter and picked up the receiver .",18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"rising slowly like an automaton , she made her way over to the counter and picked up the receiver .",4.0,-54.1692,-45.6113,-43.755
MOP2,en,Has he really offered you the job back ?,8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,has he really offered you the job back ?,4.0,-27.3139,-29.0542,-31.9398
MOP2,en,"They were like cogs working together , fitting into place when and where they were needed .",15,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"they were like cogs working together , fitting into place when and where they were needed .",4.0,-49.1231,-45.808,-43.6373
MOP2,en,"Agnes , now fully dressed , went into the hall .",8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"agnes , now fully dressed , went into the hall .",4.0,-26.8504,-23.1487,-21.8928
MOP2,en,"Supplement per person per night £135 for the first night , £105 each additional night ( minimum 2 persons ) .",15,"[4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3.75,"supplement per person per night £135 for the first night , £105 each additional night ( minimum 2 persons ) .",3.75,-55.359,-55.3906,-54.7259
MOP2,en,"You should obtain a Certificate of Posting , which is available free of charge at the counter .",16,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"you should obtain a certificate of posting , which is available free of charge at the counter .",4.0,-44.9583,-42.3005,-41.4919
MOP2,en,The modernization and industrialization of nineteenth century Britain changed the population map .,12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.8,the modernization and industrialization of nineteenth century britain changed the population map .,3.8,-34.7491,-30.1857,-30.6277
MOP2,en,Pallister's rivals are : Steve Bruce ( Manchester United ) ; Stuart Pearce ( Nottingham Forest ; Paul McGrath ( Aston Villa ) ; Gary Lineker ( Spurs ) ; Ray Houghton ( Liverpool ) .,21,"[4, 4, 1, 4, 4, 4, 4, 4, 4, 1]",3.4,pallister's rivals are : steve bruce ( manchester united ) ; stuart pearce ( nottingham forest ; paul mcgrath ( aston villa ) ; gary lineker ( spurs ) ; ray houghton ( liverpool ) .,3.4,-67.9478,-65.2507,-63.1428
MOP2,en,‘ This shows the company didn't learn anything from this lesson .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,‘ this shows the company didn't learn anything from this lesson .,4.0,-35.3107,-31.9823,-32.3984
MOP2,en,"Here we have an uninterrupted view of the prospect , and what a glorious prospect it is , stretching far away for many miles on every hand .",25,"[1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 4]",3.4375,"here we have an uninterrupted view of the prospect , and what a glorious prospect it is , stretching far away for many miles on every hand .",3.4375,-79.2757,-68.6335,-68.3234
MOP2,en,"Two years before , two TA soldiers met at an Army open day .",12,"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",3.57142857143,"two years before , two ta soldiers met at an army open day .",3.571428571428572,-36.6357,-34.5078,-33.9192
MOP2,en,Orthodox Judaism continues to teach an elaborate separation of the menstruating woman from contact with the men of her family .,20,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,orthodox judaism continues to teach an elaborate separation of the menstruating woman from contact with the men of her family .,4.0,-58.0356,-48.4084,-49.05
MOP2,en,A recent architectural survey revealed problems at the 60-year-old Salutation Church in Salutation Road .,14,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,a recent architectural survey revealed problems at the 60-year-old salutation church in salutation road .,4.0,-40.0382,-38.2761,-38.6282
MOP2,en,The fireplace in question was set into a huge thick wall that partly divided the main room .,17,"[1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4]",3.47058823529,the fireplace in question was set into a huge thick wall that partly divided the main room .,3.4705882352941178,-57.115,-53.2345,-52.4995
MOP2,en,"It is a brave move to start afresh in a garden , and a sure test of one's design talents .",19,"[4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 4, 1]",3.2,"it is a brave move to start afresh in a garden , and a sure test of one's design talents .",3.2,-60.7811,-53.5829,-53.7892
MOP2,en,"Liverpool won early popularity as a result of Britain's military victories in the Peninsula , just as Mr Major's reputation was enhanced by the Gulf War .",25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"liverpool won early popularity as a result of britain's military victories in the peninsula , just as mr major's reputation was enhanced by the gulf war .",4.0,-73.6288,-64.6983,-63.5173
MOP2,en,The EEC has banned BST until further research has been completed .,11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,the eec has banned bst until further research has been completed .,4.0,-27.8383,-22.5741,-22.1302
MOP2,en,This deliberate emphasis on the young people's unreliable and hurtful past relationships poses a dilemma for residential workers .,18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,this deliberate emphasis on the young people's unreliable and hurtful past relationships poses a dilemma for residential workers .,4.0,-59.2771,-54.1516,-54.78
MOP2,en,‘ As far as I can see we can either go for Dersingham or for the man himself .,17,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",3.8,‘ as far as i can see we can either go for dersingham or for the man himself .,3.8,-49.1627,-40.7811,-41.1212
MOP2,en,Distinction is drawn between existence of licence and its ceasing to have effect .,13,"[4, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4]",2.875,distinction is drawn between existence of licence and its ceasing to have effect .,2.875,-40.4044,-36.1864,-36.6026
MOP2,en,Turn them into public gardens and you create an attraction instead of an eyesore .,14,"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4]",3.8,turn them into public gardens and you create an attraction instead of an eyesore .,3.8,-44.8548,-42.8203,-42.9305
MOP2,en,Mr Hawke last week repeated his support for the airlines recruiting new pilots overseas and re-hiring their former pilots on individual contracts .,22,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",3.78571428571,mr hawke last week repeated his support for the airlines recruiting new pilots overseas and re-hiring their former pilots on individual contracts .,3.7857142857142856,-67.5773,-60.2806,-60.5942
MOP2,en,"In February , councillors refused to allow a variation of the hours .",11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"in february , councillors refused to allow a variation of the hours .",4.0,-25.9335,-24.3618,-24.6746
MOP2,en,"Nine schools in three Midlands LEAs , will be identified for in-depth study , following a questionnaire survey .",16,"[4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4]",3.57142857143,"nine schools in three midlands leas , will be identified for in-depth study , following a questionnaire survey .",3.571428571428572,-43.137,-40.5422,-40.2868
MOP2,en,"It is when the claim to neutrality is seen , as it must be , as a sham that damage is done to the judicial system .",24,"[4, 1, 1, 4, 1, 1, 4, 1, 4, 1, 1, 4, 4]",2.38461538462,"it is when the claim to neutrality is seen , as it must be , as a sham that damage is done to the judicial system .",2.3846153846153846,-70.7688,-65.3702,-65.7358
MOP2,en,"Some of the trees , the vegetation and the animals were mechanical creations of Mirage Enterprises .",15,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"some of the trees , the vegetation and the animals were mechanical creations of mirage enterprises .",4.0,-43.0112,-39.6878,-40.332
MOP2,en,"I say he because that is what I think of , though it could be they or even she .",18,"[4, 1, 4, 1, 1, 4, 4, 1, 4, 1, 4]",2.63636363636,"i say he because that is what i think of , though it could be they or even she .",2.636363636363636,-50.5423,-50.3982,-50.0219
MOP2,en,"They are scripted for NCR System 3000 , Sun , HP DECstation and IBM hosts .",13,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4]",3.64705882353,"they are scripted for ncr system 3000 , sun , hp decstation and ibm hosts .",3.647058823529412,-23.2343,-24.5839,-24.8763
MOP2,en,"The sequel arises from Hook's Barrie-esque determination to usurp another man's family , and from the modern man's fear of the child within himself .",23,"[4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1]",3.47058823529,"the sequel arises from hook's barrie-esque determination to usurp another man's family , and from the modern man's fear of the child within himself .",3.4705882352941178,-63.4367,-56.7311,-57.6555
MOP2,en,He looked from one tired face to another .,8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,he looked from one tired face to another .,4.0,-26.1234,-24.0911,-23.619
MOP2,en,Invite the person closest to you to give you some honest feedback on the degree of diplomacy you exhibit .,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,invite the person closest to you to give you some honest feedback on the degree of diplomacy you exhibit .,4.0,-65.0167,-59.1678,-59.2128
MOP2,en,There is little scope and seemingly no consideration for a contract by the valuer as principal .,16,"[1, 4, 1, 4, 1, 4, 4, 4, 4, 1, 4, 1]",2.75,there is little scope and seemingly no consideration for a contract by the valuer as principal .,2.75,-47.3517,-42.2792,-40.9325
MOP2,en,"‘ Oh , it's not so bad , ’ Charles offered feebly .",8,"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4]",3.78571428571,"‘ oh , it's not so bad , ’ charles offered feebly .",3.7857142857142856,-31.9704,-29.5517,-30.129
MOP2,en,"And the programme ended as it dropped onto the fire to a chorus from the rest of Alf's family of ‘ unclean , unclean ’ .",22,"[4, 1, 1, 4, 4, 1, 1, 1, 4]",2.33333333333,"and the programme ended as it dropped onto the fire to a chorus from the rest of alf's family of ‘ unclean , unclean ’ .",2.333333333333333,-59.597,-56.0495,-56.3305
MOP2,en,John Taylor was an itinerant craftsman who came from Oxford in 1839 to recast the church bells at Loughborough .,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,john taylor was an itinerant craftsman who came from oxford in 1839 to recast the church bells at loughborough .,4.0,-43.3183,-36.7534,-37.146
MOP2,en,‘ What are you going to do next about Tweed ? ’,9,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,‘ what are you going to do next about tweed ? ’,4.0,-31.3009,-29.3847,-26.476
MOP2,en,"Be flexible , if necessary suggest that more time should be devoted to an item at a separate meeting .",18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"be flexible , if necessary suggest that more time should be devoted to an item at a separate meeting .",4.0,-56.8413,-51.0949,-50.8056
MOP2,en,It was originally published by the American company Houghton Mifflin ) .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.78571428571,it was originally published by the american company houghton mifflin ) .,3.7857142857142856,-26.2474,-20.8184,-20.2139
MOP2,en,For the truth is that no single agent affects our planet as much as we do .,16,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,for the truth is that no single agent affects our planet as much as we do .,4.0,-51.2201,-42.109,-41.4866
MOP2,en,Glass exploded and shattered all around it as the storm wind and rain blasted down the corridor at them .,19,"[4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4]",3.76923076923,glass exploded and shattered all around it as the storm wind and rain blasted down the corridor at them .,3.769230769230769,-65.0378,-58.8779,-59.8942
MOP2,en,Lay participation in the running of the service was reduced ; in its place community health councils were created to represent the public .,22,"[4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4]",3.35714285714,lay participation in the running of the service was reduced ; in its place community health councils were created to represent the public .,3.357142857142857,-73.0778,-68.0593,-68.1841
MOP2,en,"The borrowers , Mr and Mrs Clothier , had a £225,000 advance on their home in Silverdale Avenue , Walton-on-Thames .",16,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.8,"the borrowers , mr and mrs clothier , had a £225,000 advance on their home in silverdale avenue , walton-on-thames .",3.8,-36.9584,-36.0422,-36.1806
MOP2,en,Rachel sat in tense silence beside the detestable Damian Flint .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,rachel sat in tense silence beside the detestable damian flint .,4.0,-34.1446,-31.4801,-31.4011
MOP2,en,"Fat couples in vacation plaids , bouncing about like toddlers in the low g and cooing over the moondirt souvenir jewellery .",20,"[1, 4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4]",2.94117647059,"fat couples in vacation plaids , bouncing about like toddlers in the low g and cooing over the moondirt souvenir jewellery .",2.9411764705882355,-66.6329,-66.2483,-66.0056
MOP2,en,The Presidential Council initially appeared designed to supplant the CPSU central committee politburo as the main centre of political decision making in the Soviet Union .,25,"[1, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4]",3.2,the presidential council initially appeared designed to supplant the cpsu central committee politburo as the main centre of political decision making in the soviet union .,3.2,-78.6931,-69.9472,-70.2582
MOP2,en,The hon. Gentleman said that the proposal was half-baked .,9,"[1, 4, 1, 1, 1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",2.94117647059,the hon. gentleman said that the proposal was half-baked .,2.9411764705882355,-21.4689,-18.8511,-19.1386
MOP2,en,The transporters are designed to withstand accidents and until recently the Govenrment ruled out any possibility of a radioactive leak .,20,"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3.82352941176,the transporters are designed to withstand accidents and until recently the govenrment ruled out any possibility of a radioactive leak .,3.823529411764706,-62.6845,-56.923,-56.8904
